title,source,lang,url,date,resume,category,credibility
"Sinner, service plus que jamais compris",Eurosport FR,fr,https://www.eurosport.fr/tennis/atp-miami/2026/masters-1000-miami-jannik-sinner-service-plus-que-jamais-compris_sto23285796/story.shtml,2026-03-30,,,0
"Thuram a impressionné, et c'était une bonne idée",Eurosport FR,fr,https://www.eurosport.fr/football/matches-amicaux/2026/apres-france-colombie-3-1-buteur-et-passeur-marcus-thuram-a-impressionne-et-cetait-une-bonne-idee_sto23285794/story.shtml,2026-03-30,,,0
Qui seront les élus ? Nos 26 pour la Coupe du monde,Eurosport FR,fr,https://www.eurosport.fr/football/coupe-du-monde/2026/coupe-du-monde-2026-liste-de-didier-deschamps-akliouche-thuram-areola.-qui-seront-les-elus-nos-26-pour-la-coupe-du-monde_vid60066211/video.shtml,2026-03-30,,,0
Lenny Martinez est l'invité de Bistrot Vélo à 18h,Eurosport FR,fr,https://www.eurosport.fr/cyclisme/lenny-martinez-invite-de-bistrot-velo-lundi-en-direct-a-18h-sur-youtube-et-hbo-max-debrief-du-tour-de-catalogne-et-preview-du-tour-des-flandres_sto23285924/story.shtml,2026-03-30,,,0
Décès d'Emiliano Sala : Cardiff condamné à payer 300 000 euros à Nantes,Eurosport FR,fr,https://www.eurosport.fr/football/deces-demiliano-sala-cardiff-condamne-a-payer-300-000-euros-a-nantes_sto23285963/story.shtml,2026-03-30,,,0
"""Elle écrase tout"" : La France fait trembler la planète football avant le Mondial",Eurosport FR,fr,https://www.eurosport.fr/football/matches-amicaux/2026/coupe-du-monde-2026-la-france-fait-trembler-la-presse-internationale-avant-le-mondial-apres-ses-deux-matches-amicaux-contre-le-bresil-et-la-colombie_sto23285905/story.shtml,2026-03-30,,,0
Pourquoi Greenwood pourrait priver De Zerbi du banc de Tottenham,Eurosport FR,fr,https://www.eurosport.fr/football/premier-league/2025-2026/premier-league-il-est-persona-non-grata-pourquoi-mason-greenwood-pourrait-priver-roberto-de-zerbi-du-banc-de-tottenham_vid60066237/video.shtml,2026-03-30,,,0
Et si l’Angleterre était la vraie favorite ?,Eurosport FR,fr,https://www.youtube.com/watch?v=-V4CWI1aI0k,2026-03-30,,,0
"Design vintage, étoile conservée : l'OM va changer de logo",Eurosport FR,fr,https://www.eurosport.fr/football/ligue-1/2025-2026/ligue-1-bientot-un-nouveau-logo-pour-lom-olympique-de-marseille_sto23285870/story.shtml,2026-03-30,,,0
AUTRES INFOS PRINCIPALES,Eurosport FR,fr,,2026-03-30,,,0
"Korir, vainqueur du marathon de New York en 2021, suspendu 5 ans pour dopage",Eurosport FR,fr,https://www.eurosport.fr/athletisme/dopage-albert-korir-vainqueur-du-marathon-de-new-york-suspendu-5-ans_sto23285947/story.shtml,2026-03-30,,,0
"Et maintenant, le doublé au soleil : Sinner est vraiment le boss des ""1000""",Eurosport FR,fr,https://www.eurosport.fr/tennis/atp-miami/2026/atp-miami-2026-et-maintenant-le-double-au-soleil-jannik-sinner-est-vraiment-le-boss-des-1000_sto23285714/story.shtml,2026-03-30,,,0
"""Deschamps a deux onze qui pourraient aller en quart de finale de la Coupe du monde""",Eurosport FR,fr,https://www.eurosport.fr/football/matches-amicaux/2026/matches-amicaux-colombie-france-deschamps-a-deux-onze-qui-pourraient-aller-en-quart-de-finale-de-la-coupe-du-monde_vid60066210/video.shtml,2026-03-30,,,0
Liste : Il va y avoir de la casse,Eurosport FR,fr,https://www.eurosport.fr/football/coupe-du-monde/2026/coupe-du-monde-2026-quelle-liste-pour-didier-deschamps-il-va-y-avoir-de-la-casse_sto23285922/story.shtml,2026-03-30,,,0
"""Il est incroyablement bon"" : Revoilà Wirtz, le virtuose",Eurosport FR,fr,https://www.eurosport.fr/football/matches-amicaux/2026/il-est-incroyablement-bon-revoila-wirtz-le-virtuose-de-lallemagne-malgre-une-saison-difficile-a-liverpool_sto23285644/story.shtml,2026-03-30,,,0
Le procès d'Escoffier reporté en novembre,Eurosport FR,fr,https://www.eurosport.fr/voile/le-proces-du-navigateur-kevin-escoffier-pour-agressions-sexuelles-reporte-en-novembre_sto23285965/story.shtml,2026-03-30,,,0
Eurosport FC : Le meilleur de nos émissions foot,Eurosport FR,fr,,2026-03-30,,,0
"En Italie, la grande frousse : ""On a peur que le karma se charge de nous""",Eurosport FR,fr,https://www.eurosport.fr/football/qualif-coupe-du-monde/2026/coupe-du-monde-en-italie-la-grande-frousse-avant-le-barrage-contre-la-bosnie-herzegovine-on-a-peur-que-le-karma-se-charge-de-nous_vid60066250/video.shtml,2026-03-30,,,0
"""Moi, je la situe tout en haut"" : l'Angleterre est-elle favorite ?",Eurosport FR,fr,https://www.eurosport.fr/football/coupe-du-monde/2026/coupe-du-monde-moi-je-la-situe-tout-en-haut-langleterre-de-thomas-tuchel-est-elle-favorite-du-mondial-2026_vid60066249/video.shtml,2026-03-30,,,0
"""C’est presque criminel de ne mettre Kanté dans le onze mais...""",Eurosport FR,fr,https://www.eurosport.fr/football/matches-amicaux/2026/matches-amicaux-colombie-france-cest-presque-criminel-de-ne-pas-commencer-avec-kante_vid60066209/video.shtml,2026-03-30,,,0
"FootballTransfertsPSG : Luis Enrique claque la porte à Rashford, pas de plan B pour Manchester United qui doit trouver un accord avec le BarçaLuis Enrique a catégoriquement écarté Marcus Rashford du projet PSG, malgré une…Stéphane Roy30/03/2026 15:07",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
"FootballTransfertsRodri, Silva, Foden : à City, c’est l’hémorragie !Manchester City tremble : Rodri, Bernardo Silva et Phil Foden, trois piliers…Stéphane Roy30/03/2026 15:00",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
FootballCompo probable qualifications Coupe du Monde : Suède – Pologne avec le Gunner Gyokeres face au Rennais SzymanskiSuède – Pologne : découvrez les compositions probables de ce match des…La Rédaction30/03/2026 14:51,Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
FootballCompo probable qualifications Coupe du Monde : Kosovo – Turquie avec l’Intériste Çalhanoğlu en tête de gondoleKosovo – Turquie : découvrez les compositions probables de ce match des…La Rédaction30/03/2026 14:48,Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
FootballCompo probable qualifications Coupe du Monde : Tchéquie – Danemark avec le Lyonnais Pavel Sulc en attaqueTchéquie – Danemark : découvrez les compositions probables de match des qualifications…La Rédaction30/03/2026 14:43,Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
"FootballCompo probable qualifications Coupe du Monde : Bosnie Hérzégovine – Italie, Dzeko face à la Squadra azzurraBosnie-Herzégovine – Italie : découvrez les compositions probables de ce match des…La Rédaction30/03/2026 14:37",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
"FootballÉquipe de France : Cherki calme le jeu après son petit accrochage avec DigneRayan Cherki a beau n’avoir que 22 ans, il affiche déjà le…Stéphane Roy30/03/2026 14:30",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
"FootballSport africainTransfertsMercato : le PSG observe le dossier Salah… sans vraiment y croireMohamed Salah va quitter Liverpool cet été, et son nom circule forcément du…Stéphane Roy30/03/2026 14:22",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
FootballSport africainDes Éléphants au menu pour parachever la prépa des Bleus avant le Mondial !Les Bleus de Didier Deschamps ont entamé leur préparation au Mondial 2026…Stéphane Roy30/03/2026 14:20,Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
"FootballOM : Benatia, encore un faux départ ?Frank McCourt pensait clarifier l’avenir de l’Olympique de Marseille. En réalité, il…Stéphane Roy30/03/2026 14:17",Sport.fr,fr,https://www.sport.fr/./football,2026-03-30,,,0
De Zerbi in advanced talks to become Spurs manager,BBC Sport,en,https://www.bbc.com/sport/sport/football/articles/cq59wed70v5o,2026-03-30,,,0
Broken glass makes Horner return difficult - Wolff,BBC Sport,en,https://www.bbc.com/sport/sport/formula1/articles/cvg087y1gx3o,2026-03-30,,,0
Cardiff City damages claim over Emiliano Sala death dismissed,BBC Sport,en,https://www.bbc.com/sport/news/articles/c8jkeprrn00o,2026-03-30,,,0
Sinner raises Alcaraz stakes with historic 'Sunshine Double',BBC Sport,en,https://www.bbc.com/sport/sport/tennis/articles/cly61g4wypgo,2026-03-30,,,0
Shades of Gascoigne - the rise of England's Anderson,BBC Sport,en,https://www.bbc.com/sport/sport/football/articles/cpqxdr3gzxvo,2026-03-30,,,0
Korir banned for five years over doping admission,BBC Sport,en,https://www.bbc.com/sport/sport/athletics/articles/c77mndp6erpo,2026-03-30,,,0
England players do not play enough county cricket - Lehmann,BBC Sport,en,https://www.bbc.com/sport/sport/articles/c70dev82np9o,2026-03-30,,,0
