title,source,lang,url,date,resume,category,credibility,image_url,image_caption,resume
"Biathlon,Coupe du mondeLa France 4e pays à réussir le doublé grâce à Perrot et Jeanmonnot",L'Équipe,fr,https://www.lequipe.fr/Biathlon/Actualites/Avec-les-gros-globes-d-eric-perrot-et-lou-jeanmonnot-la-france-devient-le-4e-pays-a-reussir-le-double-en-coupe-du-monde/1661154,2026-03-21,,Football,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Quentin_Fillon_Maillet_2017.jpg/800px-Quentin_Fillon_Maillet_2017.jpg,biathlète français,"Du bleu, du blanc, du rouge... et du cristal. Cette année, les deux gros globes de la Coupe du monde ont été décrochés par des Français : Lou Jeanmonnot chez les femmes et Éric Perrot chez les hommes, tous les deux sacrés dès le sprint d'Oslo, à deux courses de la fin de la saison. Ce n'est que la q…"
"Cyclisme,Milan-San RemoPogacar-Van der Poel, une affiche de rêve pour le premier Monument",L'Équipe,fr,https://www.lequipe.fr/Cyclisme-sur-route/Article/Le-defi-de-pogacar-face-a-un-van-der-poel-intouchable-une-affiche-de-reve-pour-le-premier-choc-de-la-saison/1661182,2026-03-21,,Cyclisme,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/2022_Tour_of_Slovenia_%28Stage_3%2C_Tadej_Poga%C4%8Dar_celebrating_victory_on_Celje_Castle_v2%29.jpg/800px-2022_Tour_of_Slovenia_%28Stage_3%2C_Tadej_Poga%C4%8Dar_celebrating_victory_on_Celje_Castle_v2%29.jpg,coureur cycliste slovène,"Nous voilà au matin tant rêvé, qu'on aimerait désormais un peu repousser pour qu'il ne s'évanouisse pas trop tôt. Mi-mars, un souffle de printemps, le premier Monument de la saison et déjà un sommet, tant la Classicissima a offert des bijoux de tension, d'indécision et de bagarre, ces trois dernière…"
"Cinéma,EntretienCillian Murphy : «Je ne suis pas un gaillard, je dois faire semblant»11 minutesma listeCinéma,EntretienL'acteur, oscarisé en 2024 pour Oppenheimer de Christopher Nolan, revient dans le film Peaky Blinders, suite de la série à succès qui narre le quotidien d'un gang de Birmingham. L'Irlandais en bandit viril et bagarreur, un rôle qui a participé à faire de lui une icône.",L'Équipe,fr,https://www.lequipe.fr/Tous-sports/Article/Grand-recit-cillian-murphy-revient-dans-le-film-peaky-blinders-je-ne-suis-pas-un-gaillard-je-dois-faire-semblant/1660055,2026-03-21,,Golf,5,,,"Personne n'a menti à propos de Cillian Murphy. Fin janvier, dans une chambre d'hôtel de Londres où il serre dans ses mains sa tasse de thé chaude, la voix douce, le regard concentré, les réflexions profondes, on retrouve le charismatique acteur qu'on nous avait promis et qui, depuis plus de vingt an…"
"Cinéma,DisparitionChuck Norris, adversaire de Bruce Lee et icône d'une certaine Amérique",L'Équipe,fr,https://www.lequipe.fr/Karate/Article/Chuck-norris-champion-de-karate-adversaire-de-bruce-lee-et-icone-d-une-certaine-amerique/1661193,2026-03-21,,Golf,5,,,"Il semblait invulnérable comme s'en amusaient les « Chuck Norris Facts », ces blagues sur sa force prétendument surhumaine, mais Chuck Norris est bien mort ce jeudi à 86 ans, après avoir été hospitalisé à Hawaï à la suite d'un malaise. Issu d'un milieu modeste, son père, chauffeur de bus et de camio…"
"Municipales 2026,LyonLe Tour s'invite dans le match Aulas-Doucet",L'Équipe,fr,https://www.lequipe.fr/Cyclisme-sur-route/Article/A-lyon-le-tour-de-france-s-invite-dans-le-match-jean-michel-aulas-gregory-doucet-pour-les-elections-municipales-2026/1661185,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jean-Michel_Aulas_en_juin_2025.jpg/800px-Jean-Michel_Aulas_en_juin_2025.jpg,homme d'affaires français,"C'est une de leurs divergences, dans leur programme pour le sport à Lyon, et elle concerne leur vision du Tour de France cycliste. Entre le maire sortant écologiste Grégory Doucet, arrivé légèrement en tête des suffrages au premier tour (37,36 %), et Jean-Michel Aulas (36,78 %), challenger « sans ét…"
MédiasLa télé est-elle interdite aux femmes de plus de 50 ans ?,L'Équipe,fr,https://www.lequipe.fr/Medias/Article/-bien-sur-on-a-une-date-de-peremption-la-tele-est-elle-interdite-aux-femmes-de-plus-de-50-ans/1661171,2026-03-21,,Autre,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Pieds_dans_le_plat_hanouna_2_%28cropped%29.jpg/800px-Pieds_dans_le_plat_hanouna_2_%28cropped%29.jpg,"animateur et producteur de télévision, animateur de radio franco-tunisien","Au Camp Nou mercredi soir, Luna Christofi présentait FC Barcelone-Newcastle (7-2) pour la télévision danoise TV3 et la plateforme Viaplay. À 58 ans et après bientôt trois décennies à couvrir le football européen, la journaliste continue de pratiquer son métier, sans avoir à subir quelconque remarque…"
CyclismeNos favoris pour  Milan-San Remo,L'Équipe,fr,https://www.lequipe.fr/Cyclisme-sur-route/Article/Un-duel-mathieu-van-der-poel-tadej-pogacar-sur-le-premier-monument-de-la-saison-nos-favoris-pour-milan-san-remo-2026/1661181,2026-03-21,,Cyclisme,5,https://upload.wikimedia.org/wikipedia/fr/thumb/a/af/MILANO_SAN_REMO_LOGO_2020.svg/langfr-330px-MILANO_SAN_REMO_LOGO_2020.svg.png,course cycliste italienne,"Vainqueur l'an dernier au sprint devant Filippo Ganna et Tadej Pogacar mais aussi vainqueur en solitaire après avoir attaqué dans le Poggio en 2023, Mathieu Van der Poel avait vu son coéquipier Jasper Philipsen s'imposer en 2024 après un marquage collectif favorisant une arrivée semi-groupée (12 cou…"
"Esport,EntretienSavelli : «Falcons n'est pas un club d'Etat»",L'Équipe,fr,https://www.lequipe.fr/Esport/Actualites/-falcons-n-est-pas-un-club-d-etat-la-gestion-du-club-saoudien-racontee-par-son-directeur-sportif/1660041,2026-03-21,,Golf,5,,,"Une centaine de joueurs environ sous contrat, 23 équipes différentes, deux victoires de rang dans le classement par clubs de l'Esports World Cup : depuis sa création en 2017, Team Falcons s'est imposé comme un club incontournable de l'esport mondial, aux moyens financiers conséquents... Si bien que …"
"direct,TennisMasters 1000 de Miami, 2e tour (H) : Alcaraz - FonsecaLe n°1 mondial affronte le champion brésilien pour la première fois.",L'Équipe,fr,https://www.lequipe.fr/tv/videos/live/eurosport-360-1?s=0,2026-03-21,,Tennis,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arthur_Fils_at_EFG_Swiss_Open_Gstaad_2023_Pic_Gordon_Simmonds.jpg/800px-Arthur_Fils_at_EFG_Swiss_Open_Gstaad_2023_Pic_Gordon_Simmonds.jpg,joueur de tennis français,"Coupe du monde FIS, Lake Placid : sprint libre (H/F) – qualifications"
"direct,TennisMasters 1000 de Miami, 2e tour (H) : Tsitsipas - De MinaurDirection le Hard Rock Stadium pour le Miami Open.",L'Équipe,fr,https://www.lequipe.fr/tv/videos/live/eurosport-360-2?s=0,2026-03-21,,Tennis,5,,,"Coupe du monde FIS, Lake Placid : sprint libre (H/F) – qualifications"
